filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,shape,x,y,width,height,Class
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,2,"{""name"":""rect"",""x"":457,""y"":138,""width"":61,""height"":43}","{""class_name"":""hardhat""}",rect,457,138,61,43,hardhat
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,3,"{""name"":""rect"",""x"":584,""y"":101,""width"":97,""height"":56}","{""class_name"":""hardhat""}",rect,584,101,97,56,hardhat
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,4,"{""name"":""rect"",""x"":747,""y"":136,""width"":60,""height"":49}","{""class_name"":""hardhat""}",rect,747,136,60,49,hardhat
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,5,"{""name"":""rect"",""x"":677,""y"":135,""width"":53,""height"":32}","{""class_name"":""hardhat""}",rect,677,135,53,32,hardhat
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,6,"{""name"":""rect"",""x"":528,""y"":162,""width"":55,""height"":46}","{""class_name"":""hardhat""}",rect,528,162,55,46,hardhat
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,7,"{""name"":""rect"",""x"":18,""y"":262,""width"":195,""height"":294}","{""class_name"":""vest""}",rect,18,262,195,294,vest
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,8,"{""name"":""rect"",""x"":232,""y"":230,""width"":173,""height"":269}","{""class_name"":""vest""}",rect,232,230,173,269,vest
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,9,"{""name"":""rect"",""x"":439,""y"":210,""width"":102,""height"":178}","{""class_name"":""vest""}",rect,439,210,102,178,vest
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,10,"{""name"":""rect"",""x"":548,""y"":215,""width"":136,""height"":259}","{""class_name"":""vest""}",rect,548,215,136,259,vest
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,11,"{""name"":""rect"",""x"":453,""y"":528,""width"":41,""height"":45}","{""class_name"":""boots""}",rect,453,528,41,45,boots
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,12,"{""name"":""rect"",""x"":506,""y"":501,""width"":52,""height"":39}","{""class_name"":""boots""}",rect,506,501,52,39,boots
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,13,"{""name"":""rect"",""x"":714,""y"":520,""width"":18,""height"":46}","{""class_name"":""boots""}",rect,714,520,18,46,boots
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,14,"{""name"":""rect"",""x"":709,""y"":220,""width"":107,""height"":79}","{""class_name"":""vest""}",rect,709,220,107,79,vest
7.jpg,75182,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":395,""y"":141,""width"":228,""height"":117}","{""class_name"":""hardhat""}",rect,395,141,228,117,hardhat
7.jpg,75182,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":290,""y"":395,""width"":406,""height"":563}","{""class_name"":""vest""}",rect,290,395,406,563,vest
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,0,"{""name"":""rect"",""x"":1,""y"":0,""width"":120,""height"":50}","{""class_name"":""hardhat""}",rect,1,0,120,50,hardhat
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,1,"{""name"":""rect"",""x"":178,""y"":53,""width"":102,""height"":39}","{""class_name"":""hardhat""}",rect,178,53,102,39,hardhat
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,2,"{""name"":""rect"",""x"":105,""y"":98,""width"":98,""height"":72}","{""class_name"":""hardhat""}",rect,105,98,98,72,hardhat
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,3,"{""name"":""rect"",""x"":294,""y"":145,""width"":51,""height"":26}","{""class_name"":""hardhat""}",rect,294,145,51,26,hardhat
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,4,"{""name"":""rect"",""x"":257,""y"":94,""width"":44,""height"":37}","{""class_name"":""hardhat""}",rect,257,94,44,37,hardhat
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,5,"{""name"":""rect"",""x"":48,""y"":66,""width"":52,""height"":64}","{""class_name"":""mask""}",rect,48,66,52,64,mask
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,6,"{""name"":""rect"",""x"":161,""y"":155,""width"":36,""height"":45}","{""class_name"":""mask""}",rect,161,155,36,45,mask
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,7,"{""name"":""rect"",""x"":230,""y"":109,""width"":36,""height"":43}","{""class_name"":""mask""}",rect,230,109,36,43,mask
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,8,"{""name"":""rect"",""x"":305,""y"":184,""width"":30,""height"":39}","{""class_name"":""mask""}",rect,305,184,30,39,mask
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,9,"{""name"":""rect"",""x"":260,""y"":142,""width"":36,""height"":37}","{""class_name"":""mask""}",rect,260,142,36,37,mask
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,10,"{""name"":""rect"",""x"":8,""y"":124,""width"":101,""height"":192}","{""class_name"":""vest""}",rect,8,124,101,192,vest
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,11,"{""name"":""rect"",""x"":129,""y"":198,""width"":98,""height"":120}","{""class_name"":""vest""}",rect,129,198,98,120,vest
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,12,"{""name"":""rect"",""x"":260,""y"":194,""width"":45,""height"":127}","{""class_name"":""vest""}",rect,260,194,45,127,vest
8.jpg,43222,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",14,13,"{""name"":""rect"",""x"":304,""y"":231,""width"":40,""height"":89}","{""class_name"":""vest""}",rect,304,231,40,89,vest
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,0,"{""name"":""rect"",""x"":380,""y"":82,""width"":80,""height"":117}","{""class_name"":""hardhat""}",rect,380,82,80,117,hardhat
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,1,"{""name"":""rect"",""x"":396,""y"":202,""width"":64,""height"":63}","{""class_name"":""hardhat""}",rect,396,202,64,63,hardhat
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,2,"{""name"":""rect"",""x"":138,""y"":101,""width"":222,""height"":223}","{""class_name"":""vest""}",rect,138,101,222,223,vest
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,3,"{""name"":""rect"",""x"":455,""y"":214,""width"":138,""height"":168}","{""class_name"":""vest""}",rect,455,214,138,168,vest
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,4,"{""name"":""rect"",""x"":628,""y"":92,""width"":91,""height"":125}","{""class_name"":""hardhat""}",rect,628,92,91,125,hardhat
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,5,"{""name"":""rect"",""x"":600,""y"":1,""width"":87,""height"":17}","{""class_name"":""hardhat""}",rect,600,1,87,17,hardhat
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,6,"{""name"":""rect"",""x"":613,""y"":40,""width"":120,""height"":161}","{""class_name"":""vest""}",rect,613,40,120,161,vest
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,7,"{""name"":""rect"",""x"":708,""y"":76,""width"":194,""height"":192}","{""class_name"":""vest""}",rect,708,76,194,192,vest
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,8,"{""name"":""rect"",""x"":203,""y"":519,""width"":65,""height"":34}","{""class_name"":""boots""}",rect,203,519,65,34,boots
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,9,"{""name"":""rect"",""x"":267,""y"":496,""width"":78,""height"":38}","{""class_name"":""boots""}",rect,267,496,78,38,boots
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,10,"{""name"":""rect"",""x"":663,""y"":465,""width"":112,""height"":44}","{""class_name"":""boots""}",rect,663,465,112,44,boots
9.jpg,203497,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,11,"{""name"":""rect"",""x"":770,""y"":502,""width"":85,""height"":48}","{""class_name"":""boots""}",rect,770,502,85,48,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,0,"{""name"":""rect"",""x"":42,""y"":15,""width"":21,""height"":13}","{""class_name"":""hardhat""}",rect,42,15,21,13,hardhat
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,1,"{""name"":""rect"",""x"":92,""y"":27,""width"":23,""height"":12}","{""class_name"":""hardhat""}",rect,92,27,23,12,hardhat
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,2,"{""name"":""rect"",""x"":136,""y"":19,""width"":23,""height"":15}","{""class_name"":""hardhat""}",rect,136,19,23,15,hardhat
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,3,"{""name"":""rect"",""x"":185,""y"":19,""width"":29,""height"":14}","{""class_name"":""hardhat""}",rect,185,19,29,14,hardhat
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,4,"{""name"":""rect"",""x"":33,""y"":37,""width"":34,""height"":45}","{""class_name"":""vest""}",rect,33,37,34,45,vest
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,5,"{""name"":""rect"",""x"":84,""y"":43,""width"":35,""height"":57}","{""class_name"":""vest""}",rect,84,43,35,57,vest
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,6,"{""name"":""rect"",""x"":131,""y"":41,""width"":34,""height"":45}","{""class_name"":""vest""}",rect,131,41,34,45,vest
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,7,"{""name"":""rect"",""x"":181,""y"":45,""width"":38,""height"":43}","{""class_name"":""vest""}",rect,181,45,38,43,vest
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,8,"{""name"":""rect"",""x"":22,""y"":145,""width"":20,""height"":22}","{""class_name"":""boots""}",rect,22,145,20,22,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,9,"{""name"":""rect"",""x"":42,""y"":143,""width"":19,""height"":20}","{""class_name"":""boots""}",rect,42,143,19,20,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,10,"{""name"":""rect"",""x"":74,""y"":149,""width"":12,""height"":16}","{""class_name"":""boots""}",rect,74,149,12,16,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,11,"{""name"":""rect"",""x"":101,""y"":143,""width"":20,""height"":17}","{""class_name"":""boots""}",rect,101,143,20,17,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,12,"{""name"":""rect"",""x"":122,""y"":135,""width"":17,""height"":13}","{""class_name"":""boots""}",rect,122,135,17,13,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,13,"{""name"":""rect"",""x"":150,""y"":143,""width"":16,""height"":19}","{""class_name"":""boots""}",rect,150,143,16,19,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,14,"{""name"":""rect"",""x"":204,""y"":151,""width"":10,""height"":21}","{""class_name"":""boots""}",rect,204,151,10,21,boots
10.jpg,12970,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,15,"{""name"":""rect"",""x"":185,""y"":133,""width"":15,""height"":21}","{""class_name"":""boots""}",rect,185,133,15,21,boots
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,0,"{""name"":""rect"",""x"":477,""y"":68,""width"":127,""height"":96}","{""class_name"":""hardhat""}",rect,477,68,127,96,hardhat
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,1,"{""name"":""rect"",""x"":45,""y"":232,""width"":38,""height"":21}","{""class_name"":""hardhat""}",rect,45,232,38,21,hardhat
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,2,"{""name"":""rect"",""x"":267,""y"":326,""width"":27,""height"":33}","{""class_name"":""hardhat""}",rect,267,326,27,33,hardhat
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,3,"{""name"":""rect"",""x"":377,""y"":415,""width"":61,""height"":60}","{""class_name"":""hardhat""}",rect,377,415,61,60,hardhat
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,4,"{""name"":""rect"",""x"":428,""y"":214,""width"":217,""height"":292}","{""class_name"":""vest""}",rect,428,214,217,292,vest
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,5,"{""name"":""rect"",""x"":235,""y"":432,""width"":149,""height"":134}","{""class_name"":""vest""}",rect,235,432,149,134,vest
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,6,"{""name"":""rect"",""x"":36,""y"":253,""width"":64,""height"":74}","{""class_name"":""vest""}",rect,36,253,64,74,vest
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,7,"{""name"":""rect"",""x"":299,""y"":326,""width"":90,""height"":53}","{""class_name"":""vest""}",rect,299,326,90,53,vest
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,8,"{""name"":""rect"",""x"":204,""y"":531,""width"":44,""height"":54}","{""class_name"":""boots""}",rect,204,531,44,54,boots
11.jpg,91797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,9,"{""name"":""rect"",""x"":339,""y"":399,""width"":47,""height"":25}","{""class_name"":""boots""}",rect,339,399,47,25,boots
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,0,"{""name"":""rect"",""x"":630,""y"":60,""width"":96,""height"":64}","{""class_name"":""hardhat""}",rect,630,60,96,64,hardhat
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,1,"{""name"":""rect"",""x"":441,""y"":435,""width"":20,""height"":14}","{""class_name"":""hardhat""}",rect,441,435,20,14,hardhat
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,2,"{""name"":""rect"",""x"":151,""y"":486,""width"":16,""height"":7}","{""class_name"":""hardhat""}",rect,151,486,16,7,hardhat
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,3,"{""name"":""rect"",""x"":41,""y"":510,""width"":14,""height"":7}","{""class_name"":""hardhat""}",rect,41,510,14,7,hardhat
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,4,"{""name"":""rect"",""x"":187,""y"":511,""width"":10,""height"":6}","{""class_name"":""hardhat""}",rect,187,511,10,6,hardhat
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,5,"{""name"":""rect"",""x"":693,""y"":589,""width"":118,""height"":49}","{""class_name"":""boots""}",rect,693,589,118,49,boots
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,6,"{""name"":""rect"",""x"":805,""y"":582,""width"":63,""height"":39}","{""class_name"":""boots""}",rect,805,582,63,39,boots
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,7,"{""name"":""rect"",""x"":662,""y"":125,""width"":134,""height"":200}","{""class_name"":""vest""}",rect,662,125,134,200,vest
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,8,"{""name"":""rect"",""x"":428,""y"":449,""width"":36,""height"":47}","{""class_name"":""vest""}",rect,428,449,36,47,vest
12.jpg,72363,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,9,"{""name"":""rect"",""x"":437,""y"":554,""width"":34,""height"":12}","{""class_name"":""boots""}",rect,437,554,34,12,boots
13.jpg,11919,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":133,""y"":1,""width"":50,""height"":28}","{""class_name"":""hardhat""}",rect,133,1,50,28,hardhat
13.jpg,11919,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":108,""y"":57,""width"":93,""height"":119}","{""class_name"":""hardhat""}",rect,108,57,93,119,hardhat
14.jpg,9610,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""rect"",""x"":168,""y"":10,""width"":33,""height"":26}","{""class_name"":""hardhat""}",rect,168,10,33,26,hardhat
14.jpg,9610,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""rect"",""x"":116,""y"":25,""width"":19,""height"":13}","{""class_name"":""hardhat""}",rect,116,25,19,13,hardhat
14.jpg,9610,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""rect"",""x"":178,""y"":27,""width"":77,""height"":58}","{""class_name"":""vest""}",rect,178,27,77,58,vest
14.jpg,9610,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""rect"",""x"":113,""y"":40,""width"":21,""height"":32}","{""class_name"":""vest""}",rect,113,40,21,32,vest
14.jpg,9610,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""rect"",""x"":260,""y"":96,""width"":23,""height"":25}","{""class_name"":""boots""}",rect,260,96,23,25,boots
14.jpg,9610,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""rect"",""x"":105,""y"":104,""width"":31,""height"":9}","{""class_name"":""boots""}",rect,105,104,31,9,boots
15.jpg,215830,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":211,""y"":272,""width"":129,""height"":108}","{""class_name"":""hardhat""}",rect,211,272,129,108,hardhat
15.jpg,215830,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":80,""y"":349,""width"":234,""height"":305}","{""class_name"":""vest""}",rect,80,349,234,305,vest
15.jpg,215830,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":445,""y"":291,""width"":195,""height"":363}","{""class_name"":""vest""}",rect,445,291,195,363,vest
15.jpg,215830,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":480,""y"":1055,""width"":197,""height"":66}","{""class_name"":""boots""}",rect,480,1055,197,66,boots
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,0,"{""name"":""rect"",""x"":87,""y"":31,""width"":18,""height"":13}","{""class_name"":""hardhat""}",rect,87,31,18,13,hardhat
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,1,"{""name"":""rect"",""x"":124,""y"":36,""width"":17,""height"":9}","{""class_name"":""hardhat""}",rect,124,36,17,9,hardhat
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,2,"{""name"":""rect"",""x"":203,""y"":34,""width"":16,""height"":8}","{""class_name"":""hardhat""}",rect,203,34,16,8,hardhat
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,3,"{""name"":""rect"",""x"":237,""y"":31,""width"":13,""height"":10}","{""class_name"":""hardhat""}",rect,237,31,13,10,hardhat
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,4,"{""name"":""rect"",""x"":164,""y"":34,""width"":11,""height"":8}","{""class_name"":""hardhat""}",rect,164,34,11,8,hardhat
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,5,"{""name"":""rect"",""x"":85,""y"":52,""width"":27,""height"":36}","{""class_name"":""vest""}",rect,85,52,27,36,vest
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,6,"{""name"":""rect"",""x"":119,""y"":51,""width"":27,""height"":30}","{""class_name"":""vest""}",rect,119,51,27,30,vest
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,7,"{""name"":""rect"",""x"":234,""y"":45,""width"":20,""height"":40}","{""class_name"":""vest""}",rect,234,45,20,40,vest
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,8,"{""name"":""rect"",""x"":189,""y"":49,""width"":23,""height"":39}","{""class_name"":""vest""}",rect,189,49,23,39,vest
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,9,"{""name"":""rect"",""x"":157,""y"":49,""width"":27,""height"":32}","{""class_name"":""vest""}",rect,157,49,27,32,vest
16.jpg,14850,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,10,"{""name"":""rect"",""x"":172,""y"":141,""width"":14,""height"":13}","{""class_name"":""boots""}",rect,172,141,14,13,boots
